p_id,classid,p_name,p_price,p_publisher,p_publidate,p_content,p_authorintro,p_pages,p_EPUB,p_open,p_date
211815,101001,我內心的糟糕念頭 (6),66,東立出版社,2024-06-20,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  ２月１４日…情人節。原本這應該是－－－與陰沉者．京太郎沒有關係的日子，但山田的狀況卻顯得比平常更加奇怪…？２人的時間不斷地被染上色彩。但每當看到認真面對演藝圈工作的山田，就會讓京太郎感受到很大的自卑感…！那種難受感覺的真面目究竟是什麼？「想變成山田的“喜歡”。」京太郎現在即將奮起！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  桜井紀雄
 </div>
</h4>
",167頁,固定版面,1,2024-08-13
190708,101001,我內心的糟糕念頭 (5),66,東立出版社,2024-03-07,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  位於校園種姓制度頂點的美少女．山田杏奈和患有重度中二病的陰沉者．市川京太郎。他們度過了發生各種事件的寒假，終於迎接了國中２年級第３學期的開幕。市川與山田在對於逐漸變化的距離和環境感到不知所措的同時也慢慢地變得成熟。當他們接納了彼此的弱小之後，２人的世界又爬升了一個階段…。
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  桜井紀雄
 </div>
</h4>
",163頁,固定版面,1,2024-08-13
170975,101001,我內心的糟糕念頭 (4),66,東立出版社,2023-08-03,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  位於校園種姓制度頂點的美少女．山田杏奈和患有重度中二病的陰沉者．市川京太郎。終於交換了聯絡方式的這２個人迎接了寒假到來。故事舞臺轉移到了校外－－。小小的手機連結著２個人若近若遠的距離。那鼓動緩緩地、靜靜地強烈鳴響著，然後是－－除夕的鐘聲。
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  桜井紀雄
 </div>
</h4>
",163頁,固定版面,1,2024-08-13
148706,101001,我內心的糟糕念頭 (3),66,東立出版社,2022-10-06,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  位於校園種姓制度頂點的美少女．山田杏奈和患有重度中二病的陰沉者．市川京太郎。在２個原本應該沒有交接點的世界之間微微萌生的愛戀之心逐漸地包覆他們２人的日常生活並裝飾成新的世界。教室、圖書室，然後是…家中。在無可取代的時間不斷增加的同時，一個巨大的轉機也來臨了－－？
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  桜井紀雄
 </div>
</h4>
",161頁,固定版面,1,2024-08-13
128368,101001,我內心的糟糕念頭 (2),66,東立出版社,2021-12-02,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  京太郎對於自己對山田產生的戀愛之心感到不知所措…但不曉得是不是明知道京太郎的心情還故意這麼做，那純真的山田卻自己跑來親近他！！他們居然在放學後兩人共乘腳踏車、在校外教學時２個人獨處…看似遙遠卻又有點接近…這２人的關係逐漸產生了變化！？
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  桜井紀雄
 </div>
</h4>
",161頁,固定版面,1,2024-08-13
128367,101001,我內心的糟糕念頭 (1),66,東立出版社,2021-12-02,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  個性陰沉、凡事都往負面想的陰鬱少年男主角˙市川京太郎，因為很看不慣高高在上的美少女，也是站在校園階級金字塔頂端的陽光角色˙山田杏奈，每天都在妄想著要怎麼結束掉她的性命。沒想到在一次偶然情況下撞見杏奈不為人知的一面，愛吃零食的她常躲進京太郎的聖地˙圖書室偷吃零食，就這樣圖書室變成了他們兩個交集的秘密基地。兩個極端對比的人，就這樣展開青澀的校園愛情喜劇。
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  桜井紀雄
 </div>
</h4>
",159頁,固定版面,1,2024-08-13
192636,101001,葬送的芙莉蓮 (11),66,東立出版社,2024-03-21,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  歷史上收拾最多魔族的魔法使．芙莉蓮。人類與魔族之間的「了解人類」的旅程在極北的黃金都市產生交錯。這個故事，糾纏不清的恩怨將散發光芒之後消逝。映照出英雄們「真心」的後日譚奇幻故事！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  山田鐘人 (原著)、阿部司(イラスト)
 </div>
</h4>
",191頁,固定版面,1,2024-08-13
177930,101001,葬送的芙莉蓮 (10),66,東立出版社,2023-10-19,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  之前是勇者一行人成員的魔法使‧芙莉蓮展開前往靈魂長眠之地‧AUREOLE的旅程。在七崩賢‧馬哈特「了解人類」的過去裡，存在著人類與魔族的特殊關係故事，逐漸朝著失去色彩的黃金融化。反射出英雄們「惡意」後日譚奇幻故事！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  山田鐘人 (原著)、阿部司(イラスト)
 </div>
</h4>
",195頁,固定版面,1,2024-08-13
160554,101001,葬送的芙莉蓮 (9),66,東立出版社,2023-04-20,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  勇者欣梅爾的死，讓魔法使‧芙莉蓮展開了一段「認識人類」的旅程。目的地是「靈魂長眠之地〈AUREOLE〉」──魔王城的所在地。朝著北部高原前進，遇上了七崩賢‧黃金鄉的馬哈特。故事投射出殘留在黃金都市的記憶。持續描繪出英雄們「往日」後日譚奇幻故事！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  山田鐘人 (原著)、阿部司(イラスト)
 </div>
</h4>
",191頁,固定版面,1,2024-08-13
160553,101001,葬送的芙莉蓮 (8),66,東立出版社,2023-04-20,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  如今魔法使‧芙莉蓮再次踏上與過往勇者們一起走過的旅程。前往沒有一級魔法使陪同就很難前進的嚴苛北部高原。途中，與魔法使們重逢，還跟魔族進行戰鬥──故事，讓人想起難吃麵包的味道。讓英雄們的「鄉愁」不斷滲出的後日譚奇幻故事！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  山田鐘人 (原著)、阿部司(イラスト)
 </div>
</h4>
",191頁,固定版面,1,2024-08-13
150824,101001,葬送的芙莉蓮 (7),66,東立出版社,2022-11-03,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  與勇者們的過去帶往未來的魔法使‧芙莉蓮。通過魔法使測驗之後，踏上前往靈魂長眠之地〈AUREOLE〉的旅程。歷經邂逅與別離，回想起勇者們說過的話──透過故事可以窺見魔王死後的世界。闡述英雄們「內心」的後日譚奇幻故事！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  山田鐘人 (原著)、阿部司(イラスト)
 </div>
</h4>
",187頁,固定版面,1,2024-08-13
143704,101001,葬送的芙莉蓮 (6),66,東立出版社,2022-07-21,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  打敗魔王，在歷史上留名的魔法使‧芙莉蓮。魔法使測驗的第二次測驗是攻略迷宮。跟著各有特色的魔法使們，芙莉蓮逐漸施展個人的本領──故事中，師徒的羈絆逐漸加深。闡述英雄們「真意」的後日譚奇幻故事！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  山田鐘人 (原著)、阿部司(イラスト)
 </div>
</h4>
",191頁,固定版面,1,2024-08-13
137891,101001,葬送的芙莉蓮 (5),66,東立出版社,2022-04-21,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  打敗魔王，在歷史上留名的魔法使‧芙莉蓮。為了讓前往靈魂長眠之地的旅程順利進行，她參加了魔法使測驗。全新的邂逅，都是一些不好對付的魔法使──故事中，各自的信念與決心逐漸顯現出來。解開英雄們「歷史」的後日譚奇幻故事！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  山田鐘人 (原著)、阿部司(イラスト)
 </div>
</h4>
",191頁,固定版面,1,2024-08-13
133182,101001,葬送的芙莉蓮 (4),66,東立出版社,2022-02-17,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  精靈魔法使‧芙莉蓮在勇者死後仍舊持續活著。她再次沿著過去與勇者們一起冒險的旅途前進。替過去與現在旅程增添色彩的是，諸多無法取代的邂逅跟活動──。故事描述她陸續想起與勇者們的日常生活。由英雄們的「記憶」所編織而成後日譚奇幻故事！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  山田鐘人 (原著)、阿部司(イラスト)
 </div>
</h4>
",191頁,固定版面,1,2024-08-13
