p_id,classid,p_name,p_price,p_publisher,p_publidate,p_content,p_authorintro,p_pages,p_EPUB,p_open,p_date,a_name,c_name
218773,,BLUE LOCK 藍色監獄 (24),80,東立出版社,2024-08-15,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  只有「一瞬間」才不夠！該追求的是「完全勝利」！德國靠著潔＆雪宮的合作彈擊敗了英格蘭。為了在下一場靠自己的進球戰勝凱薩，潔企圖確立「100%」的理論，並努力做著更進一步的特訓。相較於他，臉上掛著悶悶不樂表情的則是還沒有機會上場的冰織。他暗藏在心中的「過去」，以及他對足球的「真心話」又是什麼──？下一戰，德國面對的是擁有馬狼的義大利！即將戰上眾所矚目戰場的11人究竟會是誰！第5戰 vs.尤伯斯戰開幕！我會用「結果（進球）」證明一切！證明我是「貨真價實的（攻擊手）」！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  金城 宗幸／ノ村 優介
 </div>
</h4>
",195頁,,,2024-08-23,"金城 宗幸, ノ村 優介",
215503,,BLUE LOCK 藍色監獄 (23),80,東立出版社,2024-07-18,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  如果無法在這裡奮戰，就沒有世界第一（下一步）！極限對決，利己主義（EGOISM）最高潮！「新英雄大戰（NEO‧EGOIST LEAGUE）」第3戰在同分之中進入最終局面！德國vs.英格蘭！完全判讀出克里斯進球機會的潔，運用他的預見企圖反擊！然而此時前來奪取主角寶座的，則是背負絕不能輸的「命運」的雪宮！在「合理」與「理想」對立中，為了打倒凱薩潔推導出的「新生思考（新的拼圖）」將是──？在此目擊沒有人能預料到的超覺醒吧！而能支配這股狂熱的最後英雄又將是誰？對曼夏城戰，隆重完結！宣告足球新時代的「革命」就在這裡！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  金城 宗幸／ノ村 優介
 </div>
</h4>
",195頁,,,2024-08-23,"金城 宗幸, ノ村 優介",
215502,,BLUE LOCK 藍色監獄 (22),80,東立出版社,2024-07-18,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  利己主義（EGOISM）千變萬化！混沌至極的曼夏城戰！「新英雄大戰（NEO‧EGOIST LEAGUE）」第3戰，德國逆轉領先！遭到凱薩妨礙的潔，堅定立誓要用自己的進球復仇！另一方面，玲王也決心要靠「獨力」完成進化。想不到，才剛下定決心，凪就提議要「並肩作戰」──玲王‧凪（兩人）之間
  <br/>
  出現的決定性變化，將在戰場上掀起前所未有的混沌！進化的方法就是完全學得「超越視界（META VISION）」！凌駕在眾人之上吧，潔世一（自私鬼）！「只差一步」就等於「零」！身為攻擊手，就該拚上性命贏到底！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  金城 宗幸／ノ村 優介
 </div>
</h4>
",195頁,,,2024-08-23,"金城 宗幸, ノ村 優介",
203174,,BLUE LOCK 藍色監獄 (21),80,東立出版社,2024-05-16,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  群雄割據的對曼夏城之戰！「進化」喚來「進化」的超次元對決（HIGH LEVEL BATTLE）！「新英雄大戰（NEO‧EGOIST LEAGUE）」在改頭換面的千切踢出的先制彈中正式揭開序幕。潔打算靠著黑名的新「聯手攻擊」展開反擊，與此同時指導者克里斯幫凪打造的「新形態（NEW STYLE）」隆重解禁。凱薩，以及曼夏城FW（前鋒）亞基也開始發揮本領，讓戰場進入超次元（HIGH LEVEL）！極度渴求進球的潔，在極度焦急之下，挖到了「突破極限」的金脈！終於掌握到邁向「世界第一」的進化論！自私鬼，正在覺醒的現在進行式中！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  金城 宗幸／ノ村 優介
 </div>
</h4>
",193頁,,,2024-08-23,ノ村 優介,金城 宗幸
196569,,BLUE LOCK 藍色監獄 (20),80,東立出版社,2024-04-18,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  「新英雄大戰（NEO‧EGOIST LEAGUE）」全貌解禁！足球最火熱的地方就在這裡！靠著潔＆國神的合作彈，德國（巴斯塔慕尼黑）拿下第一戰。在尚未消散的熱氣之中，繪心又將親口揭露「新英雄大戰（NEO‧EGOIST LEAGUE）」的驚人事實！在自己的價值將會對全世界公開這條規則當中，每個人都分別重新擬定生存戰略，凱薩與潔的對立也越來越嚴重！當潔燃燒著鬥志要「奪取球門」的同時，下一戰阻擋在他面前的對手則是凪‧玲王‧千切！第3戰 vs.曼夏城，開踢！這次將成為主角的是誰？
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  金城 宗幸／ノ村 優介
 </div>
</h4>
",183頁,,,2024-08-23,ノ村 優介,金城 宗幸
192596,,BLUE LOCK 藍色監獄 (19),80,東立出版社,2024-03-21,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  「藍色監獄（BLUE LOCK）」計畫（PROJECT）第二階段（Phase 2）「新英雄大戰（NEO‧EGOIST LEAGUE）」第一戰開踢！vs.西班牙‧FC巴洽之戰終於要開始了。面對開場坐在板凳上的潔，風風光光以先發之姿登場的蜂樂展現出超進化！復活的國神同樣風格陡變，「天才」凱薩的實力也終於要解禁，就在比賽呈現出「藍色監獄（BLUE LOCK）」史上最高水準的樣態的同時，就連異次元的英雄（超級球星）們也準備中途參戰？在「數值」能左右一切的實力主義戰場上，潔能否找到讓自己活躍的機會（CHANCE）──搶到先發寶座，向世界證明自己的實力！眼前的障礙越高，「利己主義（EGOISM）」也將越發沸騰！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  金城 宗幸／ノ村 優介
 </div>
</h4>
",191頁,,,2024-08-23,ノ村 優介,金城 宗幸
192595,,BLUE LOCK 藍色監獄 (18),80,東立出版社,2024-03-21,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  「藍色監獄（BLUE LOCK）」計畫第二階段（Phase 2）開始運作！自私鬼們即將邁向更高端的戰場！在與U-20的大戰中獲勝後，潔與「藍色監獄（BLUE LOCK）」一躍成了英雄。而當攻擊手們在享受片刻休憩的同時，繪心甚八又安排了新的試煉等著他們！被戰鬥、被證明自己的「熱度」附身的自私鬼們，再度踏入決定人生的戰場！眼前等著他們的，竟是意外的男人們──下一個宿敵（RIVAL）是歐洲５大強隊！「新英雄大戰（NEO‧EGOIST LEAGUE）」開幕！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  金城 宗幸／ノ村 優介
 </div>
</h4>
",191頁,,,2024-08-23,ノ村 優介,金城 宗幸
185328,,BLUE LOCK 藍色監獄 (17),80,東立出版社,2024-01-18,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  來吧，日本足球即將進入新時代！自私的靈魂們將開啟那扇大門！每個人都展現出突破極限的球技的「藍色監獄（BLUE LOCK）」vs. U-20戰！在糸師兄弟的恩怨逐漸深化，同時場上不斷出現無法預測的超次元球技的同時，凪、蜂樂、潔……所有人都想搶到「只為了自己的」進球！繪心甚八的夢與執念能否徹底摧毀日本的足球？然後決勝彈又將是誰踢出──「藍色監獄（BLUE LOCK）」vs. U-20日本代表勝負底定！目擊誕生在這個國家的英雄吧！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  金城 宗幸／ノ村 優介
 </div>
</h4>
",199頁,,,2024-08-23,ノ村 優介,金城 宗幸
183043,,BLUE LOCK 藍色監獄 (16),80,東立出版社,2023-12-21,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  「藍色監獄（BLUE LOCK）」 vs. U-20日本代表緊接著下半場，死力伯仲的極限決戰！面對以糸師冴與士道龍聖的「FLOW」為中心的U-20日本代表隊的猛攻，「藍色監獄（BLUE LOCK）」投入王牌‧馬狼。比賽進入超越了策略與盤算的死鬥──雙方竭盡全力，個體（EGO）以「FLOW」為目標，逐漸奔向巔峰的戰場，正可謂是日本足球的新次元！潔與隊友，能否踹開通往下一個時代的門？攻擊手陸續覺醒！扛起日本的選手，現在即將誕生！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  金城 宗幸／ノ村 優介
 </div>
</h4>
",191頁,,,2024-08-23,ノ村 優介,金城 宗幸
181896,,BLUE LOCK 藍色監獄 (15),80,東立出版社,2023-12-07,"<h4 class=""mar0pad0 txt_gray14"">
 <div class=""product-introduction-container"">
  vs.U-20決戰，下半場開始！出自「藍色監獄（BLUE LOCK）」的惡魔，降臨場上！賭上「藍色監獄（BLUE LOCK）」計畫的存續，與U-20日本代表隊的決戰，靠著糸師凜的逆轉彈，讓「藍色監獄（BLUE LOCK）」11傑（ELEVEN）以領先之姿結束了上半場！在自私鬼們震驚了整個社會、士氣高昂的同時，為了與之對抗，U-20採用的秘計又是什麼？被糸師冴挖掘出來的士道龍聖，雙眼閃著異樣的光彩！在這場熱度持續攀升的總體戰中，展現得分（自私）吧！潔世一（攻擊手）！齊聚一堂的日本年輕才子！創造時代的將是「藍色監獄（BLUE LOCK）」？還是U-20！
 </div>
</h4>
","<h4 class=""mar0pad0 txt_gray14"">
 <div>
  金城 宗幸／ノ村 優介
 </div>
</h4>
",209頁,,,2024-08-23,ノ村 優介,金城 宗幸
